id,region_id,text,rating,provider,source,is_hidden,hiding_type,hiding_reason,url,likes_count,comments_count,date_created,date_edited,object,user,official_answer,photos,additional_data,on_moderation,is_rated,is_verified
24494341,9,"В компании работаю профессионалы, которые четко выполняют свои должностные инструкции и добросовестно соблюдают условия договора. В связи с этим , так как я являюсь клиентом данной фирмы , рекомендую воспользоваться ее услугами. Не пожалеете!",5,2gis,,False,,,,0,1,2021-10-19T19:06:47.593271+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '24719655', 'reviews_count': 2, 'first_name': 'Натали Зарипова', 'last_name': None, 'name': 'Натали Зарипова', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i1.photo.2gis.com/images/profile/30258560050958056_0ae7_1920x.jpg', '320x': 'https://i1.photo.2gis.com/images/profile/30258560050958056_0ae7_320x.jpg', '640x': 'https://i1.photo.2gis.com/images/profile/30258560050958056_0ae7_640x.jpg', '64x64': 'https://i1.photo.2gis.com/images/profile/30258560050958056_0ae7_64x64.jpg', 'url': 'https://i1.photo.2gis.com/images/profile/30258560050958056_0ae7.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '7739499', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Благодарим за оценку! Рады сотрудничеству!', 'date_created': '2021-10-19T19:51:31.311049+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
23385978,9,"Качественная работа,внимательный и компетентный менеджер Алексей. Техники выполняли работу профессионально,акуратно . Охранники приезжают быстро. Довольна абсолютно.",5,2gis,,False,,,,2,1,2021-08-31T13:57:51.470674+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '29940115', 'reviews_count': 1, 'first_name': 'Елена Никитинских', 'last_name': None, 'name': 'Елена Никитинских', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}","{'id': '7222518', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Благодарим за оценку! Рады сотрудничеству!', 'date_created': '2021-08-31T14:18:15.69382+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
22021953,9,"Отличная компания, все прошло на высшем уровне!",5,2gis,,False,,,,0,1,2021-06-30T19:39:48.189099+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '8797027', 'reviews_count': 1, 'first_name': 'Герман Кондратенко', 'last_name': None, 'name': 'Герман Кондратенко', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i4.photo.2gis.com/images/profile/844424946494074_ddf2_1920x.jpg', '320x': 'https://i4.photo.2gis.com/images/profile/844424946494074_ddf2_320x.jpg', '640x': 'https://i4.photo.2gis.com/images/profile/844424946494074_ddf2_640x.jpg', '64x64': 'https://i4.photo.2gis.com/images/profile/844424946494074_ddf2_64x64.jpg', 'url': 'https://i4.photo.2gis.com/images/profile/844424946494074_ddf2.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '6635694', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Благодарим за оценку! Рады сотрудничеству!', 'date_created': '2021-07-01T11:43:41.28562+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
21985884,9,Лучшая охранная компания. Очень понравилась работа менеджеров и техников. Менеджер ответил на все интересующие меня вопросы. Техник был очень оперативным и всë установил в кратчайшие сроки. Всем рекомендую!,5,2gis,,False,,,,0,1,2021-06-29T10:49:57.520772+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '28062290', 'reviews_count': 2, 'first_name': 'Vladimir KrasilnikoV', 'last_name': None, 'name': 'Vladimir KrasilnikoV', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}","{'id': '6613228', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Благодарим за оценку! Рады сотрудничеству!', 'date_created': '2021-06-29T11:11:13.805125+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
21969584,9,"Работаем с компанией не первый год, хорошее обслуживание, реагирование, и приемлемые цены. 
На нештатные ситуации хорошая реакция
Переходить к другим и не планируем, да и к кому?! Они лучшие на рынке, советую.",5,2gis,,False,,,,0,1,2021-06-28T15:52:17.952116+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '21127879', 'reviews_count': 1, 'first_name': 'Александр Сучилин', 'last_name': None, 'name': 'Александр Сучилин', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i2.photo.2gis.com/images/profile/844424976419222_b27f_1920x.jpg', '320x': 'https://i2.photo.2gis.com/images/profile/844424976419222_b27f_320x.jpg', '640x': 'https://i2.photo.2gis.com/images/profile/844424976419222_b27f_640x.jpg', '64x64': 'https://i2.photo.2gis.com/images/profile/844424976419222_b27f_64x64.jpg', 'url': 'https://i2.photo.2gis.com/images/profile/844424976419222_b27f.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '6606724', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Благодарим за оценку! Рады сотрудничеству!', 'date_created': '2021-06-28T16:53:56.16329+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
21837348,9,"Благодарны за отличный сервис и оперативную работу. Нужно было экстренно перенести охрану в связи с переездом, справились супер, отдельное спасибо нашему менеджеру (Семёнов Максим), настроил работу, организовал перенос, причём находясь в этот момент в отпуске!",5,2gis,,False,,,,0,1,2021-06-22T14:42:14.069069+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '20457562', 'reviews_count': 6, 'first_name': 'Наталья Первухина', 'last_name': None, 'name': 'Наталья Первухина', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i9.photo.2gis.com/images/profile/30258560060417437_b4ec_1920x.jpg', '320x': 'https://i9.photo.2gis.com/images/profile/30258560060417437_b4ec_320x.jpg', '640x': 'https://i9.photo.2gis.com/images/profile/30258560060417437_b4ec_640x.jpg', '64x64': 'https://i9.photo.2gis.com/images/profile/30258560060417437_b4ec_64x64.jpg', 'url': 'https://i9.photo.2gis.com/images/profile/30258560060417437_b4ec.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '6562879', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Благодарим за отзыв! Рады сотрудичеству!', 'date_created': '2021-06-23T15:13:06.566235+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
21740892,9,"Отличное охранное предприятие.
При открытии магазина выбирал современную охранную компанию с высоким уровнем безопасности. На встречу приехал менеджер Иван, все просто и понятно рассказал, посчитал смету на установку, все что нужно ничего лишнего не предлагал. Все устроило. Ребята быстро произвели установку и поставили на пульт. Спустя полгода при открытии второго магазина, так же обратился к ребятам и тоже все понравилось.
Я их проверял, реагирование около 5 минут.
Ещё из плюсов довольно удобное мобильное приложение. Всегда можно отслеживать во сколько приходят и уходят продавцы (приходят уведомления о постановки и снятии охраны)
Всем доволен оценка 5, с уважением, сеть магазинов кальяной индустрии Hookah BAZA.",5,2gis,,False,,,,2,1,2021-06-17T21:15:43.88108+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '1676119', 'reviews_count': 1, 'first_name': 'Apple User', 'last_name': None, 'name': 'Apple User', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}","{'id': '7735892', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Благодарим за отзыв! Рады сотрудничеству!', 'date_created': '2021-10-19T16:10:43.948523+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
21704548,9,"Обратилась в компанию не так давно, все прошло на высшем уровне. Менеджер качественно проконсультировал. По цене вышло дешевле, чем у других компаний.",5,2gis,,False,,,,1,1,2021-06-16T12:50:50.52626+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '28644457', 'reviews_count': 1, 'first_name': 'Вероника', 'last_name': None, 'name': 'Вероника', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}","{'id': '6494307', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Благодарим за отзыв! Рады сотрудничеству!', 'date_created': '2021-06-16T13:42:14.419641+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
17678887,9,Очень довольна работой охранным предприятием в Екатеринбурге. Необходимо было подключить квартиру. Техник Александр приехал в назначенный день и в назначенное время. Работа была произведена быстро и качественно. Теперь моя любимая квартира находится под надежной защитой.,5,2gis,,False,,,,1,1,2020-11-13T23:13:15.491282+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '25751361', 'reviews_count': 1, 'first_name': 'Ольга Ревина', 'last_name': None, 'name': 'Ольга Ревина', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}","{'id': '4697046', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Спасибо за отзыв! Рады сотрудничеству!', 'date_created': '2020-11-13T23:48:16.13627+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11790325,9,"Выбрала эту охрану для маминого магазина. Выбирала по сайтам, Варяг оказалось крупная организация, не думала. Пообщались с директором Павлом, очень приятное впечатление. Их рабочие аккуратно сделали все, проверили. Хотя надеюсь ничего не случится, но нам теперь спокойней.",5,flamp,,False,,,https://flamp.ru/r/70000001027608339/5613200,2,0,2019-09-21T18:08:27.0+07:00,,"{'id': '70000001027608339', 'type': 'branch'}","{'id': '3146059', 'reviews_count': 4, 'first_name': 'Марина Скороходова', 'last_name': None, 'name': 'Марина Скороходова', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/1d42490dea0efc0c45434a82b44d2154_1920.jpg', '320x': 'https://cdn1.flamp.ru/1d42490dea0efc0c45434a82b44d2154_320.jpg', '640x': 'https://cdn1.flamp.ru/1d42490dea0efc0c45434a82b44d2154_640.jpg', '64x64': 'https://cdn1.flamp.ru/1d42490dea0efc0c45434a82b44d2154_64_64.jpg', 'url': 'https://cdn1.flamp.ru/1d42490dea0efc0c45434a82b44d2154.jpg'}, 'url': 'http://flamp.ru/user3146059', 'additional_data': {'email': None}}","{'id': '2425006', 'org_name': 'ВАРЯГ, холдинг предприятий безопасности', 'text': 'Спасибо за отзыв, Марина! Рады сотрудничеству!', 'date_created': '2019-09-23T18:36:46.0+07:00', 'logo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/7beeaf8c488a0a7c9c3b11776a47d14c_1920.jpg', '320x': 'https://cdn1.flamp.ru/7beeaf8c488a0a7c9c3b11776a47d14c_320.jpg', '640x': 'https://cdn1.flamp.ru/7beeaf8c488a0a7c9c3b11776a47d14c_640.jpg', '64x64': 'https://cdn1.flamp.ru/7beeaf8c488a0a7c9c3b11776a47d14c_64_64.jpg', 'url': 'https://cdn1.flamp.ru/7beeaf8c488a0a7c9c3b11776a47d14c.jpg'}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '5613200', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
