id,region_id,text,rating,provider,source,is_hidden,hiding_type,hiding_reason,url,likes_count,comments_count,date_created,date_edited,object,user,official_answer,photos,additional_data,on_moderation,is_rated,is_verified
23389436,21,"Случайно наткнулись в инстаграме , установили себе видеонаблюдение . Все быстро и качественно. Спасибо .",5,2gis,,False,,,,0,0,2021-08-31T16:04:55.88723+07:00,,"{'id': '2956015537261007', 'type': 'branch'}","{'id': '29943146', 'reviews_count': 1, 'first_name': 'ジュリア アニシモワ', 'last_name': None, 'name': 'ジュリア アニシモワ', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i9.photo.2gis.com/images/profile/30258560062995982_a2d7_1920x.jpg', '320x': 'https://i9.photo.2gis.com/images/profile/30258560062995982_a2d7_320x.jpg', '640x': 'https://i9.photo.2gis.com/images/profile/30258560062995982_a2d7_640x.jpg', '64x64': 'https://i9.photo.2gis.com/images/profile/30258560062995982_a2d7_64x64.jpg', 'url': 'https://i9.photo.2gis.com/images/profile/30258560062995982_a2d7.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
23298802,21,"Давно пользуемся охранными услугами Каре, все на высшем уровне. Рекомендую👍🏻",5,2gis,,False,,,,0,0,2021-08-27T15:30:25.563768+07:00,,"{'id': '2956015537261007', 'type': 'branch'}","{'id': '29867198', 'reviews_count': 1, 'first_name': 'Ильдар Тагиров', 'last_name': None, 'name': 'Ильдар Тагиров', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
22740073,21,Не заплатили зарплату жесткие кидалы,1,2gis,,False,,,,0,1,2021-08-02T21:53:47.741986+07:00,,"{'id': '2956015537261007', 'type': 'branch'}","{'id': '29461211', 'reviews_count': 1, 'first_name': 'Марат Нуреев', 'last_name': None, 'name': 'Марат Нуреев', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}","{'id': '6937968', 'org_name': 'Каре, частное охранное предприятие', 'text': 'Опишите проблему, приходите кинам в офис и возмите все документы и трудовой договор.', 'date_created': '2021-08-02T22:21:08.463787+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
14924490,21,"С 6 утра охранники у входа орать начинают, матерятся, мешают людям спать, особенно летом, когда окна открыты.",1,2gis,,False,,,,0,0,2020-05-05T10:46:11.339353+07:00,,"{'id': '2956015537261007', 'type': 'branch'}","{'id': '12830902', 'reviews_count': 6, 'first_name': 'Николай Скворцов', 'last_name': None, 'name': 'Николай Скворцов', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
13525305,21,Давно пользуюсь услугами данного ЧОПа. По поставленным задачам нареканий нет!,5,2gis,,False,,,,0,0,2020-01-18T06:53:07.231176+07:00,2020-01-18T06:54:02.237292+07:00,"{'id': '2956015537261007', 'type': 'branch'}","{'id': '22171182', 'reviews_count': 1, 'first_name': 'Defender2335 Defendet2335', 'last_name': None, 'name': 'Defender2335 Defendet2335', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i9.photo.2gis.com/images/profile/844424968426661_7ad4_1920x.jpg', '320x': 'https://i9.photo.2gis.com/images/profile/844424968426661_7ad4_320x.jpg', '640x': 'https://i9.photo.2gis.com/images/profile/844424968426661_7ad4_640x.jpg', '64x64': 'https://i9.photo.2gis.com/images/profile/844424968426661_7ad4_64x64.jpg', 'url': 'https://i9.photo.2gis.com/images/profile/844424968426661_7ad4.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
13225280,21,Профессионалы своего дела ! Спасибо .,5,2gis,,False,,,,0,0,2019-12-26T15:25:22.962762+07:00,,"{'id': '2956015537261007', 'type': 'branch'}","{'id': '21897279', 'reviews_count': 1, 'first_name': 'Аделя Хлебникова', 'last_name': None, 'name': 'Аделя Хлебникова', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i6.photo.2gis.com/images/profile/844424968422865_2629_1920x.jpg', '320x': 'https://i6.photo.2gis.com/images/profile/844424968422865_2629_320x.jpg', '640x': 'https://i6.photo.2gis.com/images/profile/844424968422865_2629_640x.jpg', '64x64': 'https://i6.photo.2gis.com/images/profile/844424968422865_2629_64x64.jpg', 'url': 'https://i6.photo.2gis.com/images/profile/844424968422865_2629.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
12883430,21,"Несколько лет наш офисный центр охраняет ЧОП КАРЕ . Охрана на постах дисциплинированная , начальник охраны Ильяс всегда выслушивает наши пожелания , замечаний нет , полностью довольны.",5,2gis,,False,,,,0,0,2019-12-03T18:29:57.799463+07:00,,"{'id': '2956015537261007', 'type': 'branch'}","{'id': '21405075', 'reviews_count': 1, 'first_name': 'Станислав Анисимов', 'last_name': None, 'name': 'Станислав Анисимов', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i7.photo.2gis.com/images/profile/844424968422749_ad91_1920x.jpg', '320x': 'https://i7.photo.2gis.com/images/profile/844424968422749_ad91_320x.jpg', '640x': 'https://i7.photo.2gis.com/images/profile/844424968422749_ad91_640x.jpg', '64x64': 'https://i7.photo.2gis.com/images/profile/844424968422749_ad91_64x64.jpg', 'url': 'https://i7.photo.2gis.com/images/profile/844424968422749_ad91.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
865527,21,"Здравствуйте! Хотим выразить огромную благодарность ООО ЧОО Каре. Заключили договор на физическую охрану, КТС и установку видеонаблюдения. Сразу же хотим заметить разницу между старым Чопом и ООО ЧОО Каре. Охранники всегда вежливые, опрятные, всегда по форме. В начале рабочего дня встречают с улыбкой уже с порога. С посетителями и нашими постоянными клиентами так же всегда вежливы и тактичны. Всегда могут разъяснить свои должностные обязанности. Так же осуществляется постоянный контроль со стороны руководства, начальников охраны и сотрудников ГБР. Так же нам установили КТС и видеонаблюдение. Видеонаблюдение от фирмы GeoVision. Качество изображения просто отличное. Четкость так же поражает. Видно все мельчайшие детали. Без бликов и разводов. Изображение на высоком уровне в ночное и дневное время. Мы считаем, что для обеспечения сохранности нашего имущества, это самое правильное вложение сил и средств. Спасибо Вам за Вашу работу, успехов Вам и процветания.",5,flamp,,False,,,https://flamp.ru/r/2956015537261007/1379389,0,0,2015-08-07T14:24:39.453411+06:00,,"{'id': '2956015537261007', 'type': 'branch'}","{'id': '786609', 'reviews_count': 1, 'first_name': 'chingishan19991', 'last_name': None, 'name': 'chingishan19991', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn.flamp.ru/default-avatar-m_1920.png', '320x': 'https://cdn.flamp.ru/default-avatar-m_320.png', '640x': 'https://cdn.flamp.ru/default-avatar-m_640.png', '64x64': 'https://cdn.flamp.ru/default-avatar-m_64_64.png', 'url': 'https://cdn.flamp.ru/default-avatar-m.png'}, 'url': 'http://flamp.ru/user786609', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '1379389', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
19760221,21,Пригласила Тех. отдел для установки ОПС и видеонаблюдения . Предложили лучшие цены и выполнили работы быстро и качественно. Выражаю благодарность Барс ТМ !,5,2gis,,False,,,,0,0,2021-03-12T20:14:13.161198+07:00,,"{'id': '2956016536498732', 'type': 'branch'}","{'id': '7070146', 'reviews_count': 5, 'first_name': 'Алина Р.', 'last_name': None, 'name': 'Алина Р.', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i1.photo.2gis.com/images/profile/30258560055320237_9d04_1920x.jpg', '320x': 'https://i1.photo.2gis.com/images/profile/30258560055320237_9d04_320x.jpg', '640x': 'https://i1.photo.2gis.com/images/profile/30258560055320237_9d04_640x.jpg', '64x64': 'https://i1.photo.2gis.com/images/profile/30258560055320237_9d04_64x64.jpg', 'url': 'https://i1.photo.2gis.com/images/profile/30258560055320237_9d04.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
19585064,21,Хочу похвалить компанию Барс. Справились с поставленной задачей установки видеонаблюдения и систем контроля на все 100%!,5,flamp,,False,,,https://flamp.ru/r/2956016536498732/6767202,0,0,2021-03-03T21:14:57.0+07:00,,"{'id': '2956016536498732', 'type': 'branch'}","{'id': '4194348', 'reviews_count': 1, 'first_name': 'Александр Е.', 'last_name': None, 'name': 'Александр Е.', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/4b676a1da38735bfaea02a7939a9f723_1920.jpg', '320x': 'https://cdn1.flamp.ru/4b676a1da38735bfaea02a7939a9f723_320.jpg', '640x': 'https://cdn1.flamp.ru/4b676a1da38735bfaea02a7939a9f723_640.jpg', '64x64': 'https://cdn1.flamp.ru/4b676a1da38735bfaea02a7939a9f723_64_64.jpg', 'url': 'https://cdn1.flamp.ru/4b676a1da38735bfaea02a7939a9f723.jpg'}, 'url': 'http://flamp.ru/user4194348', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '6767202', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
18827243,21,"Установили систему контроля доступа в здании, а также видеонаблюдение. Результатом довольны более чем!",5,flamp,,False,,,https://flamp.ru/r/2956016536498732/6674823,1,0,2021-01-22T17:41:11.0+07:00,,"{'id': '2956016536498732', 'type': 'branch'}","{'id': '1650921', 'reviews_count': 2, 'first_name': 'Альберт', 'last_name': None, 'name': 'Альберт', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/default-avatar-m_1920.png', '320x': 'https://cdn1.flamp.ru/default-avatar-m_320.png', '640x': 'https://cdn1.flamp.ru/default-avatar-m_640.png', '64x64': 'https://cdn1.flamp.ru/default-avatar-m_64_64.png', 'url': 'https://cdn1.flamp.ru/default-avatar-m.png'}, 'url': 'http://flamp.ru/user1650921', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '6674823', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
17996072,21,Отличная компания! Могут решить любые проблемы по безопасности. Профессионалы с большой буквы. Очень понравилось отношение к клиенту и решение любых задач... РЕКОМЕНДУЮ!,5,flamp,,False,,,https://flamp.ru/r/2956016536498732/6569515,1,0,2020-12-02T19:23:18.0+07:00,,"{'id': '2956016536498732', 'type': 'branch'}","{'id': '3086907', 'reviews_count': 2, 'first_name': 'Артемий', 'last_name': None, 'name': 'Артемий', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/default-avatar-m_1920.png', '320x': 'https://cdn1.flamp.ru/default-avatar-m_320.png', '640x': 'https://cdn1.flamp.ru/default-avatar-m_640.png', '64x64': 'https://cdn1.flamp.ru/default-avatar-m_64_64.png', 'url': 'https://cdn1.flamp.ru/default-avatar-m.png'}, 'url': 'http://flamp.ru/user3086907', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '6569515', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
17391191,21,"В двух больших складах, для охраны и безопасности товара, они быстро и качественно установили видеонаблюдение, пожарную систему, наладили систему контроля доступа. Работой довольны.",5,2gis,,False,,,,0,0,2020-10-27T19:33:34.864772+07:00,,"{'id': '2956016536498732', 'type': 'branch'}","{'id': '25482401', 'reviews_count': 12, 'first_name': 'Lilija Zijatdinova', 'last_name': None, 'name': 'Lilija Zijatdinova', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
16237347,21,"Достойные, ответственные! Компанию Барс рекомендую!!",5,2gis,,False,,,,1,0,2020-08-20T19:17:10.604256+07:00,,"{'id': '2956016536498732', 'type': 'branch'}","{'id': '24540521', 'reviews_count': 1, 'first_name': 'Александра Б', 'last_name': None, 'name': 'Александра Б', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i1.photo.2gis.com/images/profile/30258560050572853_0478_1920x.jpg', '320x': 'https://i1.photo.2gis.com/images/profile/30258560050572853_0478_320x.jpg', '640x': 'https://i1.photo.2gis.com/images/profile/30258560050572853_0478_640x.jpg', '64x64': 'https://i1.photo.2gis.com/images/profile/30258560050572853_0478_64x64.jpg', 'url': 'https://i1.photo.2gis.com/images/profile/30258560050572853_0478.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11734699,21,"представитель компании (охранник) не выпускал с парковки гос.учреждения, проявляя агрессию и высказывая угрозы (безосновательно) !!! Письмо было направлено руководителю данной компании,надеюсь получить ответ в письменной форме с объяснением не правомерности поведения.",1,2gis,,False,,,,0,2,2019-09-18T23:38:06.767585+07:00,,"{'id': '2956016536498732', 'type': 'branch'}","{'id': '1407940', 'reviews_count': 15, 'first_name': 'aleks1712', 'last_name': None, 'name': 'aleks1712', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}","{'id': '2446829', 'org_name': 'Барс, группа охранных организаций', 'text': 'Уважаемая Александра! По Вашему запросу в течении 3-х рабочих дней было проведено административное разбирательство, по результатам которого Вам был выслан ответ на Ваш электронный адрес. Если по каким-то причинам Вы не получили нашего ответа, то можете указать иной актуальный электронный адрес, либо прийти к нам в офис, где мы с Вами удовольствием обсудим цель и миссию нашей организации, а также выслушаем Ваши предложения и пожелания по ведению охранной деятельности. Телефон, указанный на сайте и на данном ресурсе 2ГИС, актуален, звонки поступают регулярно. Попробуйте, пожалуйста, связаться по указанному номеру 2 405 999 в рабочее время офиса, с 8:30 до 17:30 с понедельника по пятницу. С уважением ООО ""ЧОО ""Барс""', 'date_created': '2019-09-27T13:32:14.434191+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
21413103,21,"Сделали монтаж видео наблюдения.
Приехали сразу осмотрели помещение. Дали рекомендации как лучше будет. Сделали расчёт.
Все время держали проект под контролем и соблюдали все сроки.",5,2gis,,False,,,,0,0,2021-06-02T15:07:08.725902+07:00,,"{'id': '70000001040858967', 'type': 'branch'}","{'id': '27820880', 'reviews_count': 7, 'first_name': 'Игорь', 'last_name': None, 'name': 'Игорь', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i0.photo.2gis.com/images/profile/30258560065253635_0c45_1920x.jpg', '320x': 'https://i0.photo.2gis.com/images/profile/30258560065253635_0c45_320x.jpg', '640x': 'https://i0.photo.2gis.com/images/profile/30258560065253635_0c45_640x.jpg', '64x64': 'https://i0.photo.2gis.com/images/profile/30258560065253635_0c45_64x64.jpg', 'url': 'https://i0.photo.2gis.com/images/profile/30258560065253635_0c45.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
19029603,21,Заказали охрану в офис. Всё очень здорово. Вежливый персонал. Крепкие ребята. Выполнения обязательств в срок.,5,2gis,,False,,,,0,1,2021-02-02T21:55:49.248965+07:00,,"{'id': '70000001040858967', 'type': 'branch'}","{'id': '25814917', 'reviews_count': 5, 'first_name': 'Катя Капитонова', 'last_name': None, 'name': 'Катя Капитонова', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i1.photo.2gis.com/images/profile/30258560053672554_4591_1920x.jpg', '320x': 'https://i1.photo.2gis.com/images/profile/30258560053672554_4591_320x.jpg', '640x': 'https://i1.photo.2gis.com/images/profile/30258560053672554_4591_640x.jpg', '64x64': 'https://i1.photo.2gis.com/images/profile/30258560053672554_4591_64x64.jpg', 'url': 'https://i1.photo.2gis.com/images/profile/30258560053672554_4591.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '5283274', 'org_name': 'Контр-Юниверсити, группа предприятий безопасности', 'text': 'Благодарим Вас за отзыв!!! Надеемся на дальнейшее плодотворное сотрудничество!', 'date_created': '2021-02-03T13:55:03.641755+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
18112707,21,"Сотрудничали с вашей компанией, все сделали четко, спасибо за работу !",5,2gis,,False,,,,0,1,2020-12-09T17:03:15.166654+07:00,,"{'id': '70000001040858967', 'type': 'branch'}","{'id': '18518877', 'reviews_count': 33, 'first_name': 'Li Da', 'last_name': None, 'name': 'Li Da', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i4.photo.2gis.com/images/profile/844424970391794_6f43_1920x.jpg', '320x': 'https://i4.photo.2gis.com/images/profile/844424970391794_6f43_320x.jpg', '640x': 'https://i4.photo.2gis.com/images/profile/844424970391794_6f43_640x.jpg', '64x64': 'https://i4.photo.2gis.com/images/profile/844424970391794_6f43_64x64.jpg', 'url': 'https://i4.photo.2gis.com/images/profile/844424970391794_6f43.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '5283312', 'org_name': 'Контр-Юниверсити, группа предприятий безопасности', 'text': 'Благодарим Вас за оценку нашей работы! Всегда будем рады помочь Вам!', 'date_created': '2021-02-03T13:59:30.497214+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
17955074,21,"Был заказ от директора на охрану и сопровождения артиста на мероприятие в Казани. Всё было здорово, без нареканий. Спасибо",5,2gis,,False,,,,0,1,2020-11-30T14:52:32.351462+07:00,,"{'id': '70000001040858967', 'type': 'branch'}","{'id': '20450908', 'reviews_count': 54, 'first_name': 'Aidar Tagirov', 'last_name': None, 'name': 'Aidar Tagirov', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i5.photo.2gis.com/images/profile/844424974618715_9ea1_1920x.jpg', '320x': 'https://i5.photo.2gis.com/images/profile/844424974618715_9ea1_320x.jpg', '640x': 'https://i5.photo.2gis.com/images/profile/844424974618715_9ea1_640x.jpg', '64x64': 'https://i5.photo.2gis.com/images/profile/844424974618715_9ea1_64x64.jpg', 'url': 'https://i5.photo.2gis.com/images/profile/844424974618715_9ea1.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '4815724', 'org_name': 'Контр-Юниверсити, группа предприятий безопасности', 'text': 'Благодарим Вас за отзыв и за сотрудничество! Всегда будем рады помочь!!!', 'date_created': '2020-11-30T15:31:16.542668+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
17624966,21,"Ставил себе в частный дом, оборудование бесплатно в месяц выходит 900, как интернет) Вызывал как то вас в июле, приехали быстро. Ставлю 5",5,2gis,,False,,,,0,1,2020-11-10T20:53:31.078486+07:00,,"{'id': '70000001040858967', 'type': 'branch'}","{'id': '9819944', 'reviews_count': 78, 'first_name': 'Антон Овчинников', 'last_name': None, 'name': 'Антон Овчинников', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i4.photo.2gis.com/images/profile/844424947709274_968e_1920x.jpg', '320x': 'https://i4.photo.2gis.com/images/profile/844424947709274_968e_320x.jpg', '640x': 'https://i4.photo.2gis.com/images/profile/844424947709274_968e_640x.jpg', '64x64': 'https://i4.photo.2gis.com/images/profile/844424947709274_968e_64x64.jpg', 'url': 'https://i4.photo.2gis.com/images/profile/844424947709274_968e.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '5283344', 'org_name': 'Контр-Юниверсити, группа предприятий безопасности', 'text': 'Благодарим Вас за положительный отзыв! Надеемся на плодотворное длительное сотрудничество!', 'date_created': '2021-02-03T14:01:47.652298+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
23999181,21,В дачном поселке участились кражи и решила обратиться в Дельту так как только их наклейки и видела. Как мне все хорошо объяснили и достаточно быстро приехали все устанавливать. Оперативная и быстрая компания.,5,2gis,,False,,,,0,0,2021-09-28T02:41:01.906682+07:00,,"{'id': '2956015536499228', 'type': 'branch'}","{'id': '29933939', 'reviews_count': 4, 'first_name': 'Анастасия Лукиенко', 'last_name': None, 'name': 'Анастасия Лукиенко', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
