id,region_id,text,rating,provider,source,is_hidden,hiding_type,hiding_reason,url,likes_count,comments_count,date_created,date_edited,object,user,official_answer,photos,additional_data,on_moderation,is_rated,is_verified
20322904,19,"Просто отвратительная контора. Год назад открыла свой салон, за год 7 раз снимала их наклейки с стеклянной двери. Заколебали. Думаю ладно. Начались звонки. По итогу я сдалась. И очень пожалела. Деньги тут и там, а когда произошел случай в салоне, так на кнопку даже никто не приехал. В итоге я расторглась с ними и они затребовали кучу бабла за неустойки и так далее. А сами свои обязанности не выполняли. По итогу я заплатила, потому что сбежать захотелось от этой компании далеко и надолго.",1,2gis,,False,,,,0,0,2021-04-09T19:23:43.50779+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '23446595', 'reviews_count': 2, 'first_name': 'Валерия Ис', 'last_name': None, 'name': 'Валерия Ис', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i1.photo.2gis.com/images/profile/30258560054719483_9b9e_1920x.jpg', '320x': 'https://i1.photo.2gis.com/images/profile/30258560054719483_9b9e_320x.jpg', '640x': 'https://i1.photo.2gis.com/images/profile/30258560054719483_9b9e_640x.jpg', '64x64': 'https://i1.photo.2gis.com/images/profile/30258560054719483_9b9e_64x64.jpg', 'url': 'https://i1.photo.2gis.com/images/profile/30258560054719483_9b9e.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
19431729,19,"Ртличная компания,  всем советую  и буду советовать. Червис на высшем уровне,  проверяют оборудование  сигнализации каждый месяц,  специалисты  своего дела,  по реагирования тоже отлично,  очень быстро приезжают",5,flamp,,False,,,https://flamp.ru/r/2674540563987556/6748127,0,0,2021-02-23T22:40:04.0+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '4184156', 'reviews_count': 1, 'first_name': 'yinire9300', 'last_name': None, 'name': 'yinire9300', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/default-avatar-m_1920.png', '320x': 'https://cdn1.flamp.ru/default-avatar-m_320.png', '640x': 'https://cdn1.flamp.ru/default-avatar-m_640.png', '64x64': 'https://cdn1.flamp.ru/default-avatar-m_64_64.png', 'url': 'https://cdn1.flamp.ru/default-avatar-m.png'}, 'url': 'http://flamp.ru/user4184156', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '6748127', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
16423142,19,"В 2019 году менеджеры заманили меня в эту дельту ,пообещав золотые горы! И как только менеджеры подписали договор,то они чудесным образом испарились,и наступила пугающая реальность. Охранная система не работает,ждать техника неделями,в дельту недозвонится, на тревогу приехал через 40 минут старенький дядичка.....Когда все нервы были исчерпаны ,я решил раз и навсегда распрощаться с этой конторой...но не тут то было! Сначала десять раз переписывал заявление на расторжение,затем выставили какойто счет на 12000 рублей за неустойку и заставили еще месяц у них охранятся . Люди нивкоем случае не связывайтесь с дельтой,это лживая контора по выбиванию ваших денег!",1,2gis,,False,,,,1,0,2020-09-01T16:19:29.219618+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '24710147', 'reviews_count': 1, 'first_name': 'Лев Гришин', 'last_name': None, 'name': 'Лев Гришин', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i1.photo.2gis.com/images/profile/30258560050935956_0312_1920x.jpg', '320x': 'https://i1.photo.2gis.com/images/profile/30258560050935956_0312_320x.jpg', '640x': 'https://i1.photo.2gis.com/images/profile/30258560050935956_0312_640x.jpg', '64x64': 'https://i1.photo.2gis.com/images/profile/30258560050935956_0312_64x64.jpg', 'url': 'https://i1.photo.2gis.com/images/profile/30258560050935956_0312.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11814514,19,"Решили с супругом обезопасить себя на время командировок и поездок. Живем в Нижнем Новгороде, но имеем такую работу, что приходится кататься по России. Поставили сигнализацию от Дельты. Установили все быстро и качественно! Нам еще посоветовали воспользоваться мобильным приложением, которое показывает в оповещениях, когда был введён пароль. Очень удобно, советую всем! Никаких ограблений, взломов или попыток просто войти в наш дом еще не было.",4,flamp,,False,,,https://flamp.ru/r/2674540563987556/5616037,0,0,2019-09-23T01:13:18.0+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '3152791', 'reviews_count': 1, 'first_name': 'Саша Никитина', 'last_name': None, 'name': 'Саша Никитина', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/default-avatar-m_1920.png', '320x': 'https://cdn1.flamp.ru/default-avatar-m_320.png', '640x': 'https://cdn1.flamp.ru/default-avatar-m_640.png', '64x64': 'https://cdn1.flamp.ru/default-avatar-m_64_64.png', 'url': 'https://cdn1.flamp.ru/default-avatar-m.png'}, 'url': 'http://flamp.ru/user3152791', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '5616037', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11710126,19,"Сейчас на рынке очень много предложений по пультовой охране и мы не знали кому можно доверять, но познакомившись с компанией Дельта, поняли, что можно работать только с профессионалами.  Даже не подозревали, что существует  такое современное  оборудование, что так облегчает жизнь.  Приятно были удивлены высоким профессионализмом, отличным знанием своего дела и серьезным уровнем безопасности.  Рекомендуем всем.",5,flamp,,False,,,https://flamp.ru/r/2674540563987556/5604128,0,0,2019-09-18T01:00:30.0+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '3146430', 'reviews_count': 1, 'first_name': 'Крюков Иван', 'last_name': None, 'name': 'Крюков Иван', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/default-avatar-m_1920.png', '320x': 'https://cdn1.flamp.ru/default-avatar-m_320.png', '640x': 'https://cdn1.flamp.ru/default-avatar-m_640.png', '64x64': 'https://cdn1.flamp.ru/default-avatar-m_64_64.png', 'url': 'https://cdn1.flamp.ru/default-avatar-m.png'}, 'url': 'http://flamp.ru/user3146430', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '5604128', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11565530,19,"С Дельтой работаю уже давно, лет 5 точно. За это время не нашла недочетов, качество хорошее. Стоимость полностью устраивает, клиентская служба работает хорошо. В будущем планирую подключить еще и дом, осталось достроить.",4,2gis,,False,,,,0,1,2019-09-11T23:19:55.245781+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '20480042', 'reviews_count': 1, 'first_name': 'Марина Киреева', 'last_name': None, 'name': 'Марина Киреева', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}","{'id': '2372408', 'org_name': 'Дельта-системы безопасности, федеральная охранная компания', 'text': 'Спасибо за отзыв!', 'date_created': '2019-09-13T21:27:35.582185+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11390997,19,"Пару месяцев назад переподключила офис с другого ЧОПа на Дельту, проверила на деле, а не на словах. Всё на высшем уровне! Подкупило наличие работающего мобильного приложения и количество экипажей! За время работы нареканий не возникло. Надеюсь на долгосрочное сотрудничество.",5,flamp,,False,,,https://flamp.ru/r/2674540563987556/5568501,0,0,2019-09-03T01:36:47.0+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '3128000', 'reviews_count': 1, 'first_name': 'Глазкова Мария', 'last_name': None, 'name': 'Глазкова Мария', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/default-avatar-m_1920.png', '320x': 'https://cdn1.flamp.ru/default-avatar-m_320.png', '640x': 'https://cdn1.flamp.ru/default-avatar-m_640.png', '64x64': 'https://cdn1.flamp.ru/default-avatar-m_64_64.png', 'url': 'https://cdn1.flamp.ru/default-avatar-m.png'}, 'url': 'http://flamp.ru/user3128000', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '5568501', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11195391,19,"С компанией Дельта у меня заключён договор уже год. Полностью доволен предоставляемыми услугами. Установили базовый комплект для малого бизнеса. Всё предельно аккуратно, техника беспроводная, монтаж быстрый, мониторинг и поддержка круглосуточные. Абонентская плата в пределах разумного. Датчики работают исправно, а если есть какие-то сбои, то всё быстро устраняется. Всё чётко и профессионально, спасибо!",5,2gis,,False,,,,0,0,2019-08-19T02:02:11.612086+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '20065592', 'reviews_count': 1, 'first_name': 'Арсений Коммисаров', 'last_name': None, 'name': 'Арсений Коммисаров', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11129877,19,"Узнала о Дельта от подруги, она мне посоветовала себе в магазин поставить их тревожную кнопку. Дала номер менеджера, он мне сделал хорошую скидку. Выбрала брелок для удобства, стоимость не большая и обслуживание в месяц приемлемое. Теперь спокойно работают по ночам, надеюсь никогда не пригодится, но зато есть уверенность.",4,flamp,,False,,,https://flamp.ru/r/2674540563987556/5516784,0,0,2019-08-13T23:42:11.0+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '3101698', 'reviews_count': 1, 'first_name': 'Кристина Горохова', 'last_name': None, 'name': 'Кристина Горохова', 'provider': 'flamp', 'photo_preview_urls': {'1920x': 'https://cdn1.flamp.ru/default-avatar-m_1920.png', '320x': 'https://cdn1.flamp.ru/default-avatar-m_320.png', '640x': 'https://cdn1.flamp.ru/default-avatar-m_640.png', '64x64': 'https://cdn1.flamp.ru/default-avatar-m_64_64.png', 'url': 'https://cdn1.flamp.ru/default-avatar-m.png'}, 'url': 'http://flamp.ru/user3101698', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': '5516784', 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
11098362,19,"Уже 5 лет являюсь клиентом Дельты. За время совместной работы не было никаких нареканий к качеству предоставляемых услуг. Компания предоставляет широкий спектр услуг и доказывает высокий уровень надежности. Внимательно относятся к просьбам клиента, своевременно выполняет поставленные задачи.",5,2gis,,False,,,,0,0,2019-08-11T15:36:25.6703+07:00,,"{'id': '2674540563987556', 'type': 'branch'}","{'id': '19962711', 'reviews_count': 1, 'first_name': 'Назар Григоренко', 'last_name': None, 'name': 'Назар Григоренко', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
