id,region_id,text,rating,provider,source,is_hidden,hiding_type,hiding_reason,url,likes_count,comments_count,date_created,date_edited,object,user,official_answer,photos,additional_data,on_moderation,is_rated,is_verified
23297383,17,"Отзывы накрученные, на самом деле компания не исполняет своих обязанностей и просто всасывает из тебя бабки. Не советую никому.",2,2gis,,False,,,,0,1,2021-08-27T14:36:47.169932+07:00,,"{'id': '2393065583020813', 'type': 'branch'}","{'id': '25380476', 'reviews_count': 3, 'first_name': 'Noname Noname', 'last_name': None, 'name': 'Noname Noname', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i1.photo.2gis.com/images/profile/30258560052556313_a1e3_1920x.jpg', '320x': 'https://i1.photo.2gis.com/images/profile/30258560052556313_a1e3_320x.jpg', '640x': 'https://i1.photo.2gis.com/images/profile/30258560052556313_a1e3_640x.jpg', '64x64': 'https://i1.photo.2gis.com/images/profile/30258560052556313_a1e3_64x64.jpg', 'url': 'https://i1.photo.2gis.com/images/profile/30258560052556313_a1e3.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '7208277', 'org_name': 'Центр безопасности, частная охранная организация', 'text': 'Добрый день. Наша компания всегда открыта к диалогу. Уточните пожалуйста, какое юридическое лицо у Вас или адрес объекта. С вами свяжется наш специалист и мы уверены, что найдём вместе обоюдное решение.', 'date_created': '2021-08-30T13:18:12.741268+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
22310149,17,"Компания является образцовой в г. Уфа. Подключили 2 года назад, само подключение происходило быстро. Цена оговаривается перед подключение, а не во время подключения. Однажды приходилось воспользоваться тревожной кнопкой- приехали в 17.00 за минут 5 2е вооружённых охранников. Рекомендую этот ЧОП для подключения!",5,2gis,,False,,,,1,1,2021-07-14T12:50:35.920576+07:00,,"{'id': '2393065583020813', 'type': 'branch'}","{'id': '18777230', 'reviews_count': 1, 'first_name': 'Идель Нугманов', 'last_name': None, 'name': 'Идель Нугманов', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i8.photo.2gis.com/images/profile/844424971152038_3e39_1920x.jpg', '320x': 'https://i8.photo.2gis.com/images/profile/844424971152038_3e39_320x.jpg', '640x': 'https://i8.photo.2gis.com/images/profile/844424971152038_3e39_640x.jpg', '64x64': 'https://i8.photo.2gis.com/images/profile/844424971152038_3e39_64x64.jpg', 'url': 'https://i8.photo.2gis.com/images/profile/844424971152038_3e39.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '6756632', 'org_name': 'Центр безопасности, частная охранная организация', 'text': 'Спасибо Вам за отзыв! Надеемся на дальнейшее сотрудничество', 'date_created': '2021-07-14T16:05:58.369546+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
17682088,17,"Работаем уже 2 года с ними, подредил им 6 своих объектов , ребя ответственные. Рекомендую.",5,2gis,,False,,,,1,0,2020-11-14T04:47:16.851817+07:00,,"{'id': '2393065583020813', 'type': 'branch'}","{'id': '25753840', 'reviews_count': 2, 'first_name': 'Андрей Бронников', 'last_name': None, 'name': 'Андрей Бронников', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
6963013,17,"Уже несколько лет оказывают услуги пультовой охраны нашего офиса, все гуд! Рекомендую!",5,2gis,,False,,,,1,0,2018-07-24T19:21:59.251573+07:00,,"{'id': '2393065583020813', 'type': 'branch'}","{'id': '2113378', 'reviews_count': 110, 'first_name': 'Владимир Банников', 'last_name': None, 'name': 'Владимир Банников', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i3.photo.2gis.com/images/profile/30258560056931906_eb73_1920x.jpg', '320x': 'https://i3.photo.2gis.com/images/profile/30258560056931906_eb73_320x.jpg', '640x': 'https://i3.photo.2gis.com/images/profile/30258560056931906_eb73_640x.jpg', '64x64': 'https://i3.photo.2gis.com/images/profile/30258560056931906_eb73_64x64.jpg', 'url': 'https://i3.photo.2gis.com/images/profile/30258560056931906_eb73.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
17473378,17,Хороший ЧОП. Работаю с самого начала. Всем доволен!,5,2gis,,False,,,,0,0,2020-11-01T17:11:58.564078+07:00,,"{'id': '70000001018135656', 'type': 'branch'}","{'id': '2563658', 'reviews_count': 1, 'first_name': 'korp.tsveta', 'last_name': None, 'name': 'korp.tsveta', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i5.photo.2gis.com/images/profile/844424941625965_b75f_1920x.jpg', '320x': 'https://i5.photo.2gis.com/images/profile/844424941625965_b75f_320x.jpg', '640x': 'https://i5.photo.2gis.com/images/profile/844424941625965_b75f_640x.jpg', '64x64': 'https://i5.photo.2gis.com/images/profile/844424941625965_b75f_64x64.jpg', 'url': 'https://i5.photo.2gis.com/images/profile/844424941625965_b75f.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
22886310,17,"Охраняют мои цеха, на большом удалении от города, работают без нареканий, отлажена система контроля за сотрудниками, всё решается очень оперативно.",5,2gis,,False,,,,0,1,2021-08-09T17:02:43.927005+07:00,,"{'id': '70000001052264389', 'type': 'branch'}","{'id': '29565200', 'reviews_count': 1, 'first_name': 'Алина Гареева', 'last_name': None, 'name': 'Алина Гареева', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i8.photo.2gis.com/images/profile/30258560062171866_6eed_1920x.jpg', '320x': 'https://i8.photo.2gis.com/images/profile/30258560062171866_6eed_320x.jpg', '640x': 'https://i8.photo.2gis.com/images/profile/30258560062171866_6eed_640x.jpg', '64x64': 'https://i8.photo.2gis.com/images/profile/30258560062171866_6eed_64x64.jpg', 'url': 'https://i8.photo.2gis.com/images/profile/30258560062171866_6eed.jpg'}, 'url': '', 'additional_data': {'email': None}}","{'id': '7004578', 'org_name': 'КБ-КОНТР, частная охранная организация', 'text': 'Алина, спасибо за положительный отзыв, дорожим нашим сотрудничеством!', 'date_created': '2021-08-09T18:57:43.773888+07:00', 'logo_preview_urls': {}}",[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
22845419,17,"Обеспечивали охрану выездного мероприятия, отработали отлично!",5,2gis,,False,,,,0,0,2021-08-07T15:31:42.550981+07:00,,"{'id': '70000001052264389', 'type': 'branch'}","{'id': '29535831', 'reviews_count': 1, 'first_name': 'Ашот Мамуладзе', 'last_name': None, 'name': 'Ашот Мамуладзе', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i1.photo.2gis.com/images/profile/30258560062109767_95df_1920x.jpg', '320x': 'https://i1.photo.2gis.com/images/profile/30258560062109767_95df_320x.jpg', '640x': 'https://i1.photo.2gis.com/images/profile/30258560062109767_95df_640x.jpg', '64x64': 'https://i1.photo.2gis.com/images/profile/30258560062109767_95df_64x64.jpg', 'url': 'https://i1.photo.2gis.com/images/profile/30258560062109767_95df.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
22834246,17,"Охраняют наш магазин, отзывы только положительные, есть задержания, надежная организация!",5,2gis,,False,,,,1,0,2021-08-06T22:34:07.775159+07:00,,"{'id': '70000001052264389', 'type': 'branch'}","{'id': '29527807', 'reviews_count': 1, 'first_name': 'Василий Лукашенко', 'last_name': None, 'name': 'Василий Лукашенко', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
22819442,17,"Отличная контора, сотрудничаем недавно, но никаких нареканий нет!",5,2gis,,False,,,,2,0,2021-08-06T12:37:38.104825+07:00,,"{'id': '70000001052264389', 'type': 'branch'}","{'id': '27209910', 'reviews_count': 6, 'first_name': 'Татьяна Ширах', 'last_name': None, 'name': 'Татьяна Ширах', 'provider': '2gis', 'photo_preview_urls': {'1920x': 'https://i4.photo.2gis.com/images/profile/30258560056747844_08d2_1920x.jpg', '320x': 'https://i4.photo.2gis.com/images/profile/30258560056747844_08d2_320x.jpg', '640x': 'https://i4.photo.2gis.com/images/profile/30258560056747844_08d2_640x.jpg', '64x64': 'https://i4.photo.2gis.com/images/profile/30258560056747844_08d2_64x64.jpg', 'url': 'https://i4.photo.2gis.com/images/profile/30258560056747844_08d2.jpg'}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
24721144,17,"Вы уже достали со своими звонками! Уберите мой номер из обзвона, иначе буду жаловаться на вас! Через день звонят ваши менеджеры и назойливо предлагают свои услуги! У меня уже все подключено, мне не надо!",2,2gis,,False,,,,0,0,2021-10-29T13:31:08.059751+07:00,,"{'id': '70000001019503479', 'type': 'branch'}","{'id': '30691304', 'reviews_count': 2, 'first_name': 'Айгуль Верниче', 'last_name': None, 'name': 'Айгуль Верниче', 'provider': '2gis', 'photo_preview_urls': {'1920x': '', '320x': '', '640x': '', '64x64': '', 'url': ''}, 'url': '', 'additional_data': {'email': None}}",,[],"{'status_history': [], 'has_unresolved_complaints': False, 'pin_status': 'none', 'ip': '', 'user_agent': '', 'external_id': None, 'filtered_facts': None, 'is_unrated_permanently': None, 'is_liked': None}",False,True,False
