Company,City,Name,Date,Review
Витязь,CHELB,Екатерина Г.,24 ноября 2020,"Искала охрану для квартиры. Обзвонила ряд организаций, остановилась на Витязь и не пожалела. Проконсультировали великолепно. Учли все нюансы, на след.день произвели установку сигнализации и приложения на телефон. Все качественно и легко в использовании. Спасибо за отличную работу"
Витязь,CHELB,Oldfox 1960,16 февраля,"Подключили сегодня офис, спасибо Алексею Слабинскому за очень аккуратную и быструю работу, а так же Черноусову Сергею за грамотно организованный процесс. Ребята и ГБР тоже на знакомство с объектом приехали очень быстро. Так держать!!!"
Витязь,CHELB,Алексей В.,6 октября 2020,"Плохая компания в качестве обслуживания клиентов. При неоднократном отключении эл. энергии происходили сработки из-за того что аккумулятор был разряжен и не мог держать даже 10 минут. При обращении просил чтоб нам поменяли аккумулятор на новый но в итоге нам решили его поменять после 1,5 года при очередном отключении. И как следствие нам соизволили поменять аккумулятор но заплатите за него 697 рублей. Дело в том что при неоднократном оповещении тех службу по замене аккумулятора в гарантийный срок при котором он уже престал работать от меня открещивались, но как только прошло 1,5 года его сразу поменяли за деньги. Будем расторгать с вами 3 договора по 2 квартирам и участку. Готов к разумному диалогу!"
Витязь,CHELB,Марина З.,29 января,Охранное предприятие достойно самых высоких похвал! При проникновения на объект воров оперативно задержали двоих грабителей! Экипажам 74 и 77 за высокий класс их работы отдельное огромное спасибо!!!!
Витязь,CHELB,Фадеев Воин,20 февраля,"С 2015г пользуюсь услугами ЧОП «Витязь». Остаюсь доволен, в фирме работают ответственные сотрудники, знающие своё дело. Ни за что не променяю, на другое охранное предприятие."
Витязь,CHELB,Ирина Ш.,16 августа 2020,"Отвратительно!!!! Оператор не оповесила о там, что сработала сигналка. Ходили по квартире 10 мин, ждали звонка. После моего звонка оператор увидела, что у нас не снята сигнализация. Экипаж, видимо, только после этого выехал к нам. Зайдя в квартиру даже не спросил документы. Ужас! Оператор сказала , что претензии не к ней, Человек из охранного агентства сказал, что претензии  не к нему....тогда к кому???? Я им доверила свое имущество, плачу за охрану...а они? Не серьёзно, ребята ""Витязь""! Безобразно!"
Витязь,CHELB,Иван Кротов,22 декабря 2020,"Нанятая на 17:00 охрана для охраны строй.объекта приезжает в 17:20,17:40, а то и в 18:00,оправдывая это ""поломкой автомобиля"", хотя машин в автопарке у них - завались, при этом простые рабочие должны сидеть и ждать пока хлопчики соизволят приехать"
Витязь,CHELB,Евгений Николаевич,13 июня,Позвонил приехали посмотрели поставили прокансультировали ребята молодцы
Витязь,CHELB,Дмитрий Ф.,27 сентября 2019,"Отличная охранная организация !!!давно уже охраняюсь у них,нареканий нет!ГБР приезжает быстро!Call центр всегда предупреждает обо всем.Сейчас поставил на охрану еще один свой объект.Подключал менеджер Мурыгин Алексей (отлично знает свое дело,расказал о всех тонкостях ,показал что и как лучше сделать .)подключили быстро и тарифы бюджетные!Рекомендую!👍👍👍"
Витязь,CHELB,Алекс Медведев,22 октября,Трк урал руководитель .баран .кто его поставил на это место?). По блату наверно?
