Company,City,Name,Date,Review
Дельта - системы безопасности,RND,Алексей П.,3 июня,"Перестала работать постановка на сингалку (домофонный ключ), больше месяца назад приезжал инженер сказал поменяем. За деньги, ладно. И ничего и тишина. По полчаса не могу снять, поставить на сингалку. Вчера ливень, после все пока открыл. Ночью приезжает мальчик на тревогу один, без дубины даже, килограмм 70. Явно сам боится. Кого он может остановить? Я думаю даже что он свистком не будет пользоваться, а то потом его из такого места придется доставать, что ну его на .. Не рекомендую вам их. Четыре года деньги тянули, сегодня все, хватит, терпение лопнуло."
Дельта - системы безопасности,RND,Natali Sh.,8 апреля,"После ограбления нашей квартиры, находящейся на втором этаже многоэтажного дома, мы установили охранную сигнализацию компании дельта, датчики движения, тревожную кнопку. Через 3 года нас опять ограбили и сигнализация не сработала. Полиция зафиксировала проникновение в квартиру. Украли всё золото, которое приобреталось и дарилось мне в течение всей жизни. Лимит ущерба по договору, который может возместить охранная компания -200 тысяч рублей. Мы подали заявление в дельту на возмещение ущерба, приложили документы из полиции, но нам пришёл отказ. Причина - нет чеков на золото. Какие могут быть в принципе чеки не золото? Кто-то хранит их? Или может на золото, которое подарили мне 10 лет назад я должна была тоже потребовать чек и его хранить? А грабители в основном золото и выносят. На это и расчёт, что дельта никому ничего никогда не возмещает. Причем срок ответа на мою преиензию тоже дельта напушила-затянула. Пришлось им несколько раз звонить, дублмровать письма, пиому что они их потеряли. Компетентность сотрудников стремится к нулю. Ознакомилась с их арбитражными делами, все дельта выиграла, потому что ни разу на объектах не сработала сигнализация. Если у нас срабатывала тревожная кнопка, то звонили с пультам спрашивали всё ли у нас нормально, если да, то отменяем группу быстрого реагирования. Ребята, как отменяете? может мне пистолет к виску пристален, приезжайте и убедитесь, что всё со мной нормально. Но даже если охранник и приедет, то он не имеет полномочий трогать вора. И приезжают пожилые мужчины, вооружённые дубинкой. Помощи от них в экстренной ситуации никакой. Сотрудники Полиции, которые приехали на вызов, посмеялись, что мы пользуемся услугами дельты. И рассказали несколько историй о том, как охранники приезжают на вызов, видят ограбление , ждут пока воры уедут и только после врываются на объект. Это всё для того, чтоб не нести ответственность за ограбление. Потому что если ограбление произошло до приезда охраны, они не несут ответственность."
Дельта - системы безопасности,RND,Анна Ш.,30 августа,"Компания крупная, реально надёжная, не один раз обращалась к ним по безопасности своего бизнеса. Профессиональный подход сотрудников меня порадовал. Советую эту компанию"
Дельта - системы безопасности,RND,Виктор Козинец,12 октября 2020,"изначально подключил квартиру) все было более-менее нормально, но потом стали звонить и навязывать доп услуги - выезд специалиста, чтобы поменять батарейки в пульте 1400 руб. Поменял сам- через дней 10 опять звонки, что сели элементы питания! и так звонили 2 месяца- батарейки отлично работали- ставили и снимали с охраны все это время! Параллельно был подключён к охране офис и склад!!! постоянные ночные звонки,что срабатывают какие-то то зоны и т.д. Но вчера 11.10.2020 года, не смогли поставить офис на охрану вечером- зарабатывала какая-то то зона- заказал выезд технического инженера на понедельник 12.10.2020 года- прождали весь день- никто не появился и даже не позвонил! в 18- 00 попробовали поставить на охрану- нифига- идет сработка! связался с технической службой- внятного ответа не получил: что- то куда-то то передали, ждите звонка и т д....время 19-20 не могу уйти с работы) звоню опять в техническую поддержку- спрашиваю мои действия? никто сказать ничего не может))) и ответ их кулмальч ка убил: вы можете делать, что угодно - это ваши проблемы!!! может вы забыли , что я Вам плачу деньги за охрану?))) завтра же перейду в другую охрану...пишу много, т к делать на работе нечего- жду мифического звонка от кого- то кто решит мою проблему)))"
Дельта - системы безопасности,RND,Иляров Сергей,14 января,"13.01.21 приехали менеджеры этой организации  Чехов Никита и Савков Вячеслав, провели тестовый вызов ГБР.  Машина с сотрудником приехала через 6 минут. Все парни Дельты показали себя воспитанными, а главное компетентными сотрудниками. ГБРовец, не смотря на то, что оказывается уже был тестовый вызов, отнесся с пониманием! Быстро, профессионально и грамотно!"
Дельта - системы безопасности,RND,Антон Д.,1 сентября,"Уважаю компанию Дельта.Качество услуги радует,подход к делу как настоящих профессионалов.буду обращаться за услугами охраны к ним"
Дельта - системы безопасности,RND,Денис Б.,1 сентября,Работаю с компанией не первый год. Ни разу не подвели. Адекватные цены и достойный сервис.
Дельта - системы безопасности,RND,Вячеслав А.,22 июля 2020,"Уже год пользуемся «охраной» Дельты. Раньше был другой местный чоп. Так вот Дельта не охраняет и не приезжает при сработке, а только названивает ,чтобы уточнить кто находится на объекте!!!позвонят мне ,потом супруге,попросят уточнить не наши ли там сотрудники и если нет,только после этого высылают наряд охраны!те ,которые были раньше ,без вопросов и звонков уже стояли под дверьми объекта ,никого не выпускали,а потом уже разбирались случайно сработала сигналка или забыли снять! собираемся сменить обратно компанию"
Дельта - системы безопасности,RND,Фрау М.,11 марта 2020,"После полугода работы проявили себя не очень профессионально и было принято решение сменить на другое охранное агенство, после чего компания Дельта выставила нам счет 9000 руб с формулировкой -возмещение понесенных ими расходов в связи односторонним расторжением  договора, типо внимательно считайте п.6.12 в договоре, потом пошла пеня ...ну это смешно...Хочешь сменить охрану- плати дельте за то что они без работы остались!"
Дельта - системы безопасности,RND,Алиса,25 ноября 2020,"Договорились на установку сигнализации в доме, назначили время 10 утра, муж отпросился с работы, сидел ждал, в 11 часов позвонил менеджерам, никто ничего не знает, в 12 еще раз прзвонил, ответ, я с вами не работаю я не в курсе, звонок в 13 часов, ответа нет где же их установка, муж психанул, и в 14 часов ему звонит наш медеджер и объявляет, что оборудование вообще только через 2 недели только приедет... просто вопрос зачем было нам ждать 3 недели, потом отпрашиваться с работы, чтобы узнать, что надо еще 2 недели подожать??? 
Отказались от них, видимо на вызовы так же приезжают."
Дельта - системы безопасности,RND,Вадим М.,7 апреля 2020,"Крайне недоволен, когда берут мой телефон из каких-то баз и начинают мне втюхивать свою услугу. Если бы они сначала разбирались кому они звонят и нужна ли мне их услуга, а так менеджер в открытую говорит, что телефон взял из старой банковской базы и звонит всем наугад. Абсолютный непрофессионализм и наглость."
Дельта - системы безопасности,RND,Товмас,20 января 2020,"Уже третий год подряд звонят и предлагают свои услуги ,говоришь не нужно ,мы не нуждаемся в ваших услугах ,не понимают ,уже и посылаешь на три весёлые ,один черт звонят .Господа сотрудники Дельта ,у вас честь и совесть есть ?"
Дельта - системы безопасности,RND,руслан Г.,24 декабря 2018,"Вот уже два года я постоянный клиент компании «Дельта- системы безопасности». Я доволен и ценами и обслуживанием. Экипаж приезжает вовремя. Уже всем знакомым посоветовал компанию, и многие тоже заключили договор. Пока никто из друзей не жаловался."
Дельта - системы безопасности,RND,Макс Р.,25 сентября 2018,"Если была такая возможность я бы даже минус звёзды поставил, но к сожалению нужно хотя бы одну. Очень задолбала компания Delta, в течении 2-х лет названивает каждую неделю разные люди с разных номеров придлагают свои услуги, каждый раз мы просим что бы больше не звонили но они звонят, не рекомендую кому либо обращаться в эту компанию, если они не перестанут то мы пойдём выше, в полицию, в суд."
Дельта - системы безопасности,RND,МВОС НКВД,5 апреля 2019,"В течении 2-х лет постоянно названивают как на служебные номера, так и на личные руководства. Все попытки воззвать к разуму упираются в стену непонимания и через месяц звонки повторяются."
Дельта - системы безопасности,RND,Пушкина Ю.,3 сентября 2020,"Самая конченная организация 
Безответственное отношение ко всему"
Дельта - системы безопасности,RND,Ольна Герасимова,22 декабря 2018,"Неплохое оборудование и цена.В отличие от другого чопа,здесь я выкупила оборудование,а не взял попользоваться.Год сотрудничаем,все отлично."
Дельта - системы безопасности,RND,Анастасия С.,9 октября 2019,"Бесконечно названивают с разных номеров. Не понимают отказа. Надо, видимо, подавать в суд. Неадекватное поведение"
Дельта - системы безопасности,RND,Борисенко  Игорь,27 февраля 2019,"Постоянно звонят на рабочие телефоны уже в течение нескольких лет ... 
 тысячу раз сказать им ""ничего не надо"" и ""не звоните сюда"" - недостаточно ... говноспамеры"
Дельта - системы безопасности,RND,Роман Цуканов,17 октября 2018,"Компания настоящих профессионалов, видно что люди с душой подходят к работе, не зря у них такие масштабы по России."
Дельта - системы безопасности,RND,Excellent D.,22 февраля 2020,чоп и никакой безопасности
Дельта - системы безопасности,RND,Юрий Е.,17 июня 2020,Хуже не встретишь
Дельта - системы безопасности,RND,Живачевский  Валентин,11 декабря 2019,Безобразное отношение к клиентам!!!!!!!!!!!
Группа Охранных Организаций Дружина,RND,Константин У.,23 сентября 2020,"Подключили в сентябре оборудование аякс для квартиры. Полностью довольны проделанной работой дружины, быстро откликнулись на заявку, порекомендовали установить именно аякс - оно более надежное и с красивым дизайном, который как раз подходит для квартиры. Все работает исправно. В общем мы довольны, спасибо!"
Группа Охранных Организаций Дружина,RND,Сергей,27 июля 2020,"Есть такая древняя китайская поговорка Друг познается в Беде !  Так вот охранное предприятие дружина Вам не друг !  Их задача развести Вас на деньги , а дальше трава не расти ! Наглядно тому пример недавний карантин ! Как известно он ударил по большинству предприятий, и в минимальной степени по охранным предприятиям, а скорее всего даже наоборот ! Так как все было повально закрыто, необходимо все это было охранять ! Так вот естественно наша организация которую обслуживает данное охранное предприятие тоже было закрыто на карантин. Естественно прибыли ноль, и платить нечем. Через какое то время начались звонки с настоятельной просьбой все оплатить, объяснили ситуацию, ну вроде поняли ! Как оказалось не надолго ! Начались звонки чуть ли не с угрозами подачи в суд и т.д. Не успели мы открыться после карантина , позвонил представитель данного ЧОП и бился в истерике что мы им должны денег. Прислали даже письмо до судебную претензию ! Мы конечно все оплатили и не потому что боимся судебных разбирательств,  а потому что мы порядочные люди !  Но, как говорится осадок остался ! С большим удовольствием поменяем в ближайшее время данное ЧОП на ЛЮБОЕ другое, пусть даже с более дорогим обслуживаем. Ищите господа более адекватных людей, берегите свои нервы)"
