Company,City,Name,Date,Review
Группа компаний безопасности Полюс,SARAT,Алексей Г.,11 марта 2020,Хорошая компания дружный коллектив где работают достойные и квалефецированные работники
Группа компаний безопасности Полюс,SARAT,Nuboed .,14 апреля,Хорошая организация
Группа компаний безопасности Полюс,SARAT,Александр Ф.,4 сентября 2019,Дружный коллектив. Первоклассные специалисты.
Группа компаний безопасности Полюс,SARAT,Сергей К.,8 марта 2020,Наведите порядок.украсте фасад
Группа компаний безопасности Полюс,SARAT,Евгений Волков,26 октября 2019,"Хорошая организация,работал"
ЧОП Омега-98,SARAT,529174 Алмосова,20 февраля,"Хорошее охранное предприятие, посетила их офис, впечатление благоприятное. Обслуживание без задержек, профессионально работает юрист, быстро заключили договор на охрану. ГБР приезжает быстро. Всем советую данную охрану."
ЧОП Омега-98,SARAT,Анатолий С,21 апреля,"Сразу понял, что опыт у фирмы глобальный. Вошли на объект с пониманием ситуации, сразу включились в работу. Сотрудничаем и по сей день, к работе охраны претензий нет."
ЧОП Омега-98,SARAT,Артем Скорынин,19 апреля,"Ужасная компания, работают способами из 90, был заключён договор, допустили небольшую просрочку сразу подали в суд, бегите от них , никому не советую с ними связываться"
ЧОП Омега-98,SARAT,Юлия Х,21 апреля,Самая лучшая охрана!!!  Приятно иметь дело с профессионалами своего дела !!!! Так держать!!!
ЧОП Омега-98,SARAT,Александр,7 ноября 2020,"Все положительные отзывы сотрудников заставляет писать учредитель или кто то по его просьбе!!! Не верьте!!! Не ходите туда устраиваться на работу!!! 
Если конечно не хотите чтобы вас через ...... кинули..... 
Всем добра!!!"
ЧОП Омега-98,SARAT,Екатерина С.,2 ноября 2020,"После определенных инцидентов у нас в подъезде, нужно было решать вопрос с охраной. Обратились в эту компанию. Установили сигнализацию с выводом на пульт управления. Цены за услуги адекватные, все устраивает."
ЧОП Омега-98,SARAT,Auto Auto,10 ноября 2020,"Отвратительная организация. Хамское отношение к людям. Если выполнили работу не правильно, никогда с этим не согласятся. Если хотите сберечь свои нервы, то я не советую вам с ними общаться.  Обходите эту организацию стороной."
ЧОП Омега-98,SARAT,Татьяна Е.,26 февраля 2020,"Отличная организация! Приемлемые цены! 
Оперативные группы ГБР, по тревоге приезжают за 3-5 минут. оперативно!
Кому нужна охрана, как физическая, так и пультовая - ВСЕ В ""ОМЕГУ"". 
Рекомендую!!!"
ЧОП Омега-98,SARAT,Ольга А.,21 ноября 2019,Спасибо огромное! Качественно и быстро запультировали объекты) Приятно иметь дело с такой организацией! Буду рекомендовать Всем знакомым Вашу организацию!
ЧОП Омега-98,SARAT,Алексей Проскурин,5 октября 2020,Зарплата небольшая. Иногда бывают задержки. В целом работать можно.
ЧОП Омега-98,SARAT,Дмитрий Калашников,27 февраля 2020,Организация нормальная не кидать но за низкая по сравнению с другими ЧОП
ЧОП Омега-98,SARAT,вика а.,23 октября 2016,"Рекомендую данную охранную организацию ""Омега "" для рестораторов и владельцев развлекательных заведений ."
ЧОП Омега-98,SARAT,Антон С.,23 апреля 2016,""" Омежка "" самая популярная охранная организация города Саратова . Так ласково ее называют друзья !!!"
ЧОП Омега-98,SARAT,сергей и.,15 марта 2016,Рекомендую всем учебным образовательным учреждениям !!!
Контр Групп,SARAT,Азат Узянбаев,6 ноября 2020,"Охранная организация на отлично! Сделал вывод когда обратился к ним за помощью. Оказали услуги на отлично, приятные и профессиональные сотрудники и руководители."
Контр Групп,SARAT,ООО ЧОО Тех-Защита,9 марта 2020,"напротив - ассоциация Собос-Русь.
Вы там найдете всё, что надо для надежной охраны"
Контр Групп,SARAT,Fff Fff,29 июля 2020,"Всё чётко, быстро, качественно."
Контр Групп,SARAT,Малик М.,10 сентября 2019,"Коллектив отличный,условия хорошие,зарплата вовремя."
Контр Групп,SARAT,Олег Ермаков,6 октября 2020,Хочешь  лицензию тебе сюда
Гранит,SARAT,Артем М.,25 января 2020,охрана очень нормальная
Гранит,SARAT,Константин,27 августа 2015,"За людей не считают рядовых охранников , ещё кидают на деньги и зарабатывают на форме(заставляют её покупать в три дорого!)."
Берт,SARAT,Сергей К.,19 августа,Хорошо выполняют свою работу.
