Company,City,Name,Date,Review
Фарб,YOSH-OLA,Гость,19 февраля,"Это ужас что-то!
Хамы грубые. По двору летают нарушая правила. Хотя, насколько мне известно, при осуществлении какой-либо деятельности нельзя ездить через дворовую территорию.
Тем более двор ""хрущевок"".
Сделавшего замечание могут слегка подтолкнуть бампером. Были такие ""шутки"" с их стороны."
Фарб,YOSH-OLA,Марина Ш.,12 августа 2019,"Устанавливали охрану квартиры. Обошлось всего за 499 р. Менеджер и техник были очень грамотные на все вопросы ответили. Охрана стоит уже больше пол года, нареканий никаких нет. Все отлично работает."
Фарб,YOSH-OLA,Валентина петухова,2 августа,Вежливые сотрудники.
Фарб,YOSH-OLA,Роман К.,16 сентября 2019,"Заказывал у них охрану квартиры, на время продвжи, так как квартира пустовала. Обошлось всего 499 руб. Очень доволе"
Фарб,YOSH-OLA,Илья Ф.,17 сентября 2019,"Охрана квартиры всего 500 рублей в месяц. Молодцы, спасибо за такие акции"
Фарб,YOSH-OLA,Мария Д.,9 января 2019,Заказывали физ охрану у них. Остались довольны выполненной работой. Спасибо большое
Фарб,YOSH-OLA,Нестор П.,28 ноября 2018,Убогое охранное агенство зарабатывающее деньги на ловле воров в супермаркетах.
ЧОП Охрана,YOSH-OLA,Евгений,12 июня 2020,"Приемлемые цены, отзывчивые сотрудники."
ЧОП Охрана,YOSH-OLA,Горный А,31 июля 2020,Есть вакансии?
ЧОП Охрана,YOSH-OLA,Сергей Рыбаков,15 октября 2019,Один из лучших ЧОП в йошкар-Оле.
ЧОП Охрана,YOSH-OLA,Сергей Соколов,2 февраля 2020,Вполне нормальный ЧОП.
ЧОП Охрана,YOSH-OLA,Владимир Орехов,7 января 2019,У ребят- Все под контролем!
Секьюрити профи ЧОП,YOSH-OLA,валера волжанин,12 июля,"ЧОП! СМЫСЛ В ЭТИХ ТРЕХ БУКВ заключается : в надёжных и проиденных курс обучения  в системе охраняемых объектов как мужского так  и женского пола  ,зарплата гарантированная  и выдают вовремя  как аванс так и расчет  по определенным числам  месяца без задержки.При  устройстве в ЧОП дополнительные вопросу  у компетентных  лиц . Спасибо"
Секьюрити профи ЧОП,YOSH-OLA,Денис Ш.,7 сентября 2020,"Отличная охранная организация, приветливы, пунктуальны."
Секьюрити профи ЧОП,YOSH-OLA,Алексей ИВАНЫЧ,12 августа 2020,лучшая охранная компания города
Секьюрити профи ЧОП,YOSH-OLA,Георгий Иванов,27 марта 2020,Мало платят
Бастион,YOSH-OLA,Алёна В.,18 мая,"На протяжении 2 месяцев уже сверлят, долбят в неположеное время! С 13.00 до 15.00 время тишины! Через стену живём с маленьким ребенком! Ну уже сил нет никаких! У ребёнка тихий час в это время! Сверлят каждый день именно с 12 дня и до самого вечера!"
Бастион,YOSH-OLA,Наталья Соломенцева,22 августа 2020,Территорию бы облагоустроить рядом.
Бастион,YOSH-OLA,Автомойка LERATON,19 января 2020,Работаем с ними больше года. Претензий нет.
Вымпел,YOSH-OLA,Мария П.,12 декабря 2020,"Охранник в аптеке ""Вита"" на Первомайской Константинов В.Ф. грубо превысил свои полномочия 12.12.20 в 9.00 вытолкнул меня с силой из аптеки, мотивируя тем, что я зашла с собакой. Собаку я планировала оставить у входа, но, в любом случае, я не нарушила ни один закон РФ, применение физической силы было незаконно. Никаких извинений мне никто не принес.
Я считаю, что этот охранник нарушил мои права, что говорит о профессиональной непригодности.
О должностных границах  должны сообщать в фирме, я считаю, так как поведение отднльной личности формирует представление о фирме в целом."
Цербер,YOSH-OLA,Аня И.,14 мая 2020,"Торговый центр Планета,14.05.2020. С ребенком купили продукты в г-те Магнит, ждали сестру на выходе(она еще была в магазине). Ребенок пробежал через ограду у отдела Slavia. Я решила пройти с ним кружок. Честно, не подумала, что 1 этаж полностью закрыт уже. Думала, что со стороны выхода проход свободен, тем более в отделах были люди. Но на другой стороне стояло заграждение. Нас встречал охранник. Облил меня первосортным матом, допрашивал, сколько мне лет, сказал что я тупорылая дура, пару мат. выражений, еще раз назвал тупой, достал телефон сел на скамеечку, уткнулся в него. С чувством выполненного долга. Бейджика нет, только нашивка ""Цербер"". Я, конечно, понимаю, что на Руси две беды - дураки и дороги, и что охранник - это не врач и не учитель, и если б у нас так общались учителя и мед.работники - министерства лопнули б от жалоб, и кто-то б получил выговор и лишение надбавок. Но охране ""Планеты"", видимо, можно все. Ваши сотрудники - ваше лицо. Если б у моего предприятия была б такая физиономия, я б спрятала ее в одно прекрасное место. а по поводу самого охранника, то горбатого могила исправит."
