Company,City,Name,Date,Review
Дельта – системы безопасности,ekt,СК П.,9 сентября,"Стыд и позор. Мы не заключили с ними договор, за это они нашу входную группу шаумяна 93 обклеили своей рекламой которая со стёкол не убирается. На просьбы убрать, реакция простая. Заключите договор - уберём. Убого так строить бизнес."
Дельта – системы безопасности,ekt,Полина Г.,18 июня,"Ужасное охранное предприятие.  Был случай нападения на салон красоты, 3 раза нажимали кнопку они приехали спустя 28 минут. Люди пострадали. А им хоть бы что. Убьют, тогда звоните. Это про них."
Дельта – системы безопасности,ekt,Igor Shein,6 июля,"Лукавый попутал заключить договор на радиоохрану с Дельтой... По порядку: очень вежливые и грамотные менеджеры обещали приезд гбр по договору за 15 минут,ответственность  1млн....по факту на первой проверке через месяц обслуживания, гбр приехали через 42 минуты (1человек), какая то сторонняя организация, лепетал, что вообще не знал куда ехать, дескать договор есть, а куда ехать нет))) плакать или смеяться решайте сами)))). Сегодня достали окончательно:  позвонили жене(оставлял второй номер) сказали -у Вас сработка, группа выехала! Мне никаких оповещений не было ни на телефон ни в приложение. Дозвонится не мог, автоответчик.. По камерам посмотрел, что через 51 минуту приехал какой-то клоун, постоял у забора 15 минут и уехал. Были бы реально воры(не дай Бог) все бы унесли, и толку от Дельты-ноль. Договор расторгаю."
Дельта – системы безопасности,ekt,Владислав Т.,17 мая,Очень агрессивный маркетинг и грубые операторы. На отказ в сотрудничестве приклеили на окно рекламу. В просьбе убрать - утвердительного ответа не дали + нахамили.
Дельта – системы безопасности,ekt,Анна Иванова,20 октября,"Самая ужасная компания, люди читайте пожалуйста отзывы прежде чем заключать договор с этой компанией 🙏🏻На клиентов им вообще плевать -берут массой"
Дельта – системы безопасности,ekt,Кирилл Челышев,15 января,Уже не возможно терпеть люди принципиально не пользуйтесь услугами этой компании звонят по 2 раза в день уже года 3 навязывают свои услуги писали и в проектору и в полицию бестолку
Дельта – системы безопасности,ekt,анна к.,13 марта,"Не могу писать, слишком много негатива накопилось.
Никогда! Не заключайте! Договор! С этой ""компанией""!!!
Просто безобразие и нет слов!"
Дельта – системы безопасности,ekt,Надежда Гладких,8 января 2020,"Компания "" дельта""-фуфло!!! Нет обязательств вообще, на все у них ответ -виноват кто-то, не обязательные, они не следят, когда у вас садится батарейка, а когда им звонишь, у них нет их в наличаи, по поводу придти, когда выспятся, шараж-монтаж, видимо только сгрести деньги, а потом не допросишься...., не рекомендую заключать с ними договор...👎"
Дельта – системы безопасности,ekt,Александр Матлыгин,19 апреля 2020,"Это что за пенсионеры которые ездят по одному??, да ещё и долго, а кто му же если что то случилось гет свободных экепажец звоните в полицию все нормально нет? Не рекомендую!"
Дельта – системы безопасности,ekt,елена п.,26 ноября 2019,работают хулиганы. после отказа заключить с ними договор наклеили на фасад магазина свои наклейки. приходите и оттирайте их.
Дельта – системы безопасности,ekt,Петр К.,7 мая 2020,"Обклеили нам весь фасад своей рекламой. Приезжайте и отмывайте. Екатеринбург, Татищева 47а"
Дельта – системы безопасности,ekt,Светлана Антонова,20 марта 2020,Охранное предприятие на высшем уровне. Работают профессионалы.
Дельта – системы безопасности,ekt,Андрей Кирилин,27 апреля 2020,"Задолбали своими звонками! Кажду неделю одно и то же, от слова дельта тошнит уже. Никакие просьбы исключить из базы обзвона не помогают."
Дельта – системы безопасности,ekt,Екатерина Азимова,4 апреля 2020,Хорошая охрана домов и квартир
СОВА,ekt,СГЛ,9 апреля 2020,"Долгое время пользовался услугами данного предприятия. Быстрая группа реагирования, комфортабельный офис с аквариумом. Молодцы."
СОВА,ekt,Игорь,9 октября 2019,"Лучшее охранное предприятие у нас в городе! 
Своевременный и грамотный сервис, быстрое прибытие группы качественное обслуживание в клиентском отделе."
СОВА,ekt,Елена С.,18 июня 2019,"Пользуюсь услугами охранного предприятия ""Сова"" уже 5 лет.  Поставили в охрану квартиру и не пожалели. При попытке вскрытия входной двери сработал датчик  и ""прилетела"" группа быстрого реагирования меньше чем за 5 минут.  Бывали и ложные тревоги (то форточку забыла закрыть, то собака бесится). Приезжала группа и всегда звонила мне, спрашивали разрешения войти в квартиру, хотя у них имеется комплект ключей.  Нисколько не пожалела,  что когда то заключила договор!"
СОВА,ekt,Константин,7 апреля 2019,"Пользуюсь услугами охранного предприятия «СОВА» - 8 лет. Сейчас подключил уже третий объект. Использую льготы (скидки) при оплате за год вперед или при подключении нового объекта. Сотрудники доброжелательные, всегда идут на встречу что не маловажно когда в бизнесе бывают «спады» и «подъемы». Оперативная группа на вызов «прилетает» моментально. Были случаи, когда на выезд приезжало две машины в штатской форме и в гражданской одежде. Техническая служба постоянно проверяет оборудование на объектах и всегда предлагает интересные инновационные технические новинки от установки мобильных приложений на телефон до модернизации оборудования на давно подключенных объектах."
СОВА,ekt,Марина Мубинова,10 сентября 2020,"Отлично, быстрое реагирование."
СОВА,ekt,Руслан Инкогнито,16 марта,Чёткое предприятие
СОВА,ekt,Александр,8 августа 2019,"Мы не звоним в 02, мы звоним в СОВУ если мне надо решить свои проблемы мне поможет только СОВА."
СОВА,ekt,Игорь Магомедкеримов,30 января 2020,"Хорошо работают, очень быстро реагируют!"
СОВА,ekt,игорь игорь,19 октября 2019,Отличный ЧОП.  Самое быстрое ГБР в Екатеринбурге.
СОВА,ekt,Kent Белый,2 ноября 2020,Отличная охрана
СОВА,ekt,Олег Александрович К.,30 июля 2019,5 лет - полет нормальный!
СОВА,ekt,Ахмаджон Журабоев,21 октября 2019,Охранная предприятий.
СОВА,ekt,Александр,25 мая 2019,Ребята знают своё дело
ЧОП Талион,ekt,KULIK,5 января,Ложь одна ложь в отзывах. Найти офис не возможно. Дозвониться до центрального офиса и до офиса в прохладном не возможно. Как они могу реагировать быстро если до них не дозвониться. В итоге приехали увидели таджиков работников и уехали. Зашибись. А собственника дождаться?  И не кто не перезвонил. Кто ставит минусы вы бы позвонили  . А то кроме дизлайков у вас мозгов ни на что нн хватает
